Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,98360666,6,6,373,11595,373,0,62.166668,152.27661,4344,0,1932.5,1754.8314,121.67465,0.12199999,8941879.0,29700000.0,98400000,1,98400000,19700000.0,44000000.0,98400000,1,6418,1283.6,2644.0247,6012,37,0,0,200,200,0.060999993,0.060999993,0,4344,920.61536,1497.9349,2243809.0,0,0,0,0,1,0,0,0,1,997.3333,62.166668,1932.5,200,6,373,6,11595,251,235,1,32,5.0,0.0,5,5,98400000.0,0.0,98400000,98400000
80,5012137,9,6,445,11632,445,0,49.444443,148.33333,8688,0,1938.6666,3501.9963,2409.551,2.9927354,358009.78,1335514.8,4998111,2,14026,1753.25,2865.0154,8009,2,5012025,1002405.0,2236530.5,5003228,189,0,0,296,200,1.7956413,1.1970942,0,8688,754.8125,2235.3616,4996841.0,0,0,0,1,0,0,0,0,0,805.13336,49.444443,1938.6666,296,9,445,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,82183556,8,7,56,11607,20,0,7.0,5.656854,5840,0,1658.1428,2137.297,141.91403,0.18251826,5870254.0,21200000.0,79400000,1,81400000,11600000.0,29900000.0,79400000,1,775845,129307.5,316149.7,774645,5,0,0,172,152,0.09734307,0.08517519,0,5840,729.3125,1594.6703,2542973.5,0,0,0,0,1,0,0,0,0,777.93335,7.0,1658.1428,172,8,56,7,11607,256,229,6,20,1964988.0,0.0,1964988,1964988,79400000.0,0.0,79400000,79400000
80,81791431,8,5,56,11601,20,0,7.0,5.656854,8760,0,2320.2,3668.897,142.52104,0.15894085,6815952.5,19800000.0,68700000,1,80600000,11500000.0,25600000.0,68700000,1,1184582,296145.5,587004.44,1176637,48,0,0,172,112,0.097809754,0.061131097,0,8760,833.0714,2337.724,5464954.0,0,0,0,0,1,0,0,0,0,897.1539,7.0,2320.2,172,8,56,5,11601,256,229,6,20,933.0,0.0,933,933,40300000.0,40100000.0,68700000,11900000
21,219,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,63926.94,13698.63,109.5,37.476658,136,83,219,219.0,0.0,219,219,0,0.0,0.0,0,0,1,0,64,20,9132.42,4566.21,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,90401,3,6,26,11607,20,0,8.666667,10.263203,5840,0,1934.5,2538.9192,128682.2,99.55642,11300.125,31656.965,89646,4,579,289.5,341.53256,531,48,90388,18077.6,40008.816,89646,4,0,0,72,132,33.185474,66.37095,0,5840,1163.3,2138.329,4572451.5,0,0,0,1,0,0,0,0,2,1292.5555,8.666667,1934.5,72,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,11321152,8,6,694,11632,694,0,86.75,245.36606,5792,0,1938.6666,2544.919,1088.7584,1.2366233,870857.9,2141832.5,6318231,1,6322309,903187.0,2388240.8,6319208,1,11300000,2264215.5,3134552.5,6318231,63,0,0,264,200,0.70664185,0.5299814,0,5792,821.73334,1798.5427,3234756.0,0,0,0,1,0,0,0,0,0,880.4286,86.75,1938.6666,264,8,694,6,11632,29200,238,1,32,1167.0,0.0,1167,1167,6318231.0,0.0,6318231,6318231
61900,37,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,216216.22,54054.055,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,27027.027,27027.027,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
2009,32,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,187500.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,31250.0,31250.0,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
8080,75114,4,3,210,134,198,0,52.5,97.04123,128,0,44.666668,72.23111,4579.7056,93.19168,12519.0,29832.307,73412,38,75114,25038.0,42824.113,74486,38,73978,36989.0,51509.902,73412,566,0,0,92,72,53.252388,39.939293,0,198,43.0,76.44232,5843.4287,0,0,0,1,0,0,0,0,0,49.142857,52.5,44.666668,92,4,210,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0
